tier	encoding	todo_line	id	section	primary_domain	all_domains	body_chars	title
A	cb	10088	TODO-SEC-JWT	Decision needed	(unresolved)	(unresolved)	363	**TODO-SEC-JWT** Rotate `ABS_JWT_SECRET` — it was pasted in plaintext into
A	cb	10094	TODO-SEC-SYSTEMD	Decision needed	(unresolved)	(unresolved)	585	**TODO-SEC-SYSTEMD** The unit has `User=audiobook`, `NoNewPrivileges`,
A	nb	10600		Workflow / ops (4)	(unresolved)	(unresolved)	209	**INTERNAL-SERVER-PKG-STALL structural decision** (H1:849-877) — leak fixed;
A	nb	10665		UX (4)	(unresolved)	(unresolved)	145	**Fleet-tasks reconciliation** — real residuals = 030/031/036 (≡ 4.10/4.8/1.16);
A	nb	10715		Other / close-out (10)	(unresolved)	(unresolved)	795	**Duration/filesize aggregation** — Book fields show snapshots instead of sums;
A	cb	10057	TODO-SSO-EDGE	Decision needed	ci/scripts	ci/scripts	1135	**TODO-SSO-EDGE** Neither native-app auth mode is actually configured at
A	cb	10447		"SEC: origin is reachable from the LAN — ""bind loopback"" is NOT achieva"	docs	docs	758	**iTunes book_file PID uniqueness — apply the backfill repair (gated).** Forward
A	nb	10512		Dedup (10)	docs	docs	731	**INIT-1 T05 follow-up — per-kind confidence field in `DedupSignalConfig`** (H1:250)
A	nb	10584		Pipeline (8)	docs	docs	158	**Torrent relocation INIT-5 T2–T7** ([plan](docs/plans/2026-07-10-torrent-relocation.md))
A	nb	10639		Infra (5)	docs	docs	137	**Consultancy wave 4+ residuals** ([roadmap](docs/consultancy/00-ROADMAP.md)) —
A	cb	6087		Missing-file lane — follow-ups after the report-only change (#2614)	internal/audiobooks	internal/audiobooks;web (frontend);docs	2735	**Replace library sorting with server-side Go sorting.** Owner decision 2026-08-09:
A	cb	7819		Missing-file lane — follow-ups after the report-only change (#2614)	internal/audiobooks	internal/audiobooks;internal/server/handlers;web (frontend)	6392	"**Fix the Library ""In Progress"" nav item — the selection highlight never"
A	cb	1815		Config	internal/database	internal/database;internal/playlist	1808	✅ **Confirm playlists are book-level, not file-level — and delete the dead
A	nb	10622		Infra (5)	internal/database	internal/database;internal/server/server_lifecycle.go	686	**CPU busy-loop: `CountPrimaryBooks` full-scan on the 5s metrics ticker** — ✅ DONE
A	cb	3734		"C716 resolved: the ""3,954-book API-vs-store gap"" decomposes to 3,953 i"	internal/logging	internal/logging;ci/scripts	854	**CA12 wave 2: model `logging.Sanitize`/`SanitizeErr`/`logger.sanitizeLogLine`
A	nb	10641		Infra (5)	internal/metrics	internal/metrics;internal/operations	1009	**Op-progress Prometheus metric (T12 follow-up)** — ✅ DONE (PR #2014,
A	cb	10038	TODO-ABS-MODEB	Decision needed	internal/oauth	internal/oauth;internal/server/handlers;internal/server/middleware	1212	**TODO-ABS-MODEB** A Cloudflare **service-token** assertion is rejected as
A	cb	10104	TODO-SRVTIMEOUT	Decision needed	internal/server	internal/server;internal/server/;ci/scripts	7566	**TODO-SRVTIMEOUT** Split or speed up the `internal/server` test package —
A	cb	2125	ORGANIZE-4TH-COPY	Config	internal/server/handlers	internal/server/handlers	2888	**ORGANIZE-4TH-COPY** `internal/server/handlers/filesystem.go:286` is a
A	cb	2467		Config	internal/server/handlers	internal/server/handlers;internal/server/metadata_ops.go	947	**Repair books applied from the Metadata Review screen before the tag-write fix.**
A	cb	8316		Missing-file lane — follow-ups after the report-only change (#2614)	internal/transcribe	internal/transcribe	4451	**Per-file intro transcription as the primary book-identity signal** — owner
A	cb	2267	ROWCOUNT-REVERIFY	Config	web (frontend)	web (frontend);docs	3227	**ROWCOUNT-REVERIFY** Re-measure every production table row count once the
A	cb	7209		Missing-file lane — follow-ups after the report-only change (#2614)	web (frontend)	web (frontend)	2293	"**The library ""Sort by"" control no longer exists — 4 e2e tests target a"
B	cb	42		CI / automation	(unresolved)	(unresolved)	297	Decide whether the 22 `gha-*` repos (plus `magnet-handler`) should keep their
B	cb	534		ABS API — sweep every endpoint for accepted-but-ignored query paramete	(unresolved)	(unresolved)	3505	💾 **Run `maintenance.booksig-sidecar-migrate` on production** — the op is
B	cb	921		ghcommon reusable-workflow pins are a month apart — decide, don't drif	(unresolved)	(unresolved)	459	Decide whether to bump the eight, and do it in **at least two PRs** —
B	cb	1000		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	544	**Re-probe `itunesservice.Store` after those two land.** Its measured
B	cb	1275		Config	(unresolved)	(unresolved)	625	**Related asymmetry found while tracing the above: auto-fetch embeds cover
B	cb	3571		Author table: copyright text and HTML entities leaked into artist tags	(unresolved)	(unresolved)	354	Decide whether author-name ingest should HTML-unescape at all. If it should,
B	cb	3799		3. Real authors, genuinely duplicated	(unresolved)	(unresolved)	291	Decide what to DO with types 1 and 2 rather than merging them. Merging 25
B	cb	3893		Likely cause	(unresolved)	(unresolved)	219	Decide whether the author listing SHOULD expose non-primary books at all.
B	cb	4356		`?version_group_id=` lists the whole library, and cannot be guarded	(unresolved)	(unresolved)	286	Decide whether the list should filter on `version_group_id` at all. There
B	cb	4910		🐛 `book_file.missing` / `file_exists` are stale — nothing maintains th	(unresolved)	(unresolved)	599	**Decide what to do with the books whose EVERY `book_file` row is dead.** The
B	cb	5275		Contributor data cleanup — follow-ups to `maintenance.purge-empty-auth	(unresolved)	(unresolved)	456	**Decide what the 822 zero-book-but-has-files authors actually are.** Measured
B	cb	5458		Missing-file lane — follow-ups after the report-only change (#2614)	(unresolved)	(unresolved)	184	**Decide what happens to the 16,265 fully-broken books** (every file entry dead).
B	nb	10586		Pipeline (8)	(unresolved)	(unresolved)	148	**Fingerprint UI verifications ×2** (H1:1383-1384) — [hold] verify the 14K
B	nb	10662		UX (4)	(unresolved)	(unresolved)	78	**1.17 — product rename/branding sweep** (H1:2751) — blocked on name decision.
B	nb	10663		UX (4)	(unresolved)	(unresolved)	109	**3.8 Plex-style media server API; 3.9 LLM series detection; 3.10 AI cover art**
B	nb	10727		Other / close-out (10)	(unresolved)	(unresolved)	80	**Library centralization backlog** — needs a brainstorming session; future work.
B	cb	1009		Interface width: the five the sweep did not reach	docs	docs	1032	Decide whether maintenance jobs should take per-job store interfaces instead of the
B	cb	8125		Missing-file lane — follow-ups after the report-only change (#2614)	docs	docs	1471	**Give the 466 low-confidence series positions somewhere to go** — deferred
B	cb	10435		"SEC: origin is reachable from the LAN — ""bind loopback"" is NOT achieva"	docs	docs	861	**iTunes 2-way-sync — continuation (P3 redefine + reverse sync + footgun audit).**
B	nb	10598		Workflow / ops (4)	docs	docs	167	**PD-1 — subprocess isolation via parent-RPC bridge + MDA3 `Isolate:false` revert**
B	cb	2537		⚠️ The activity channel overflows during organize and DROPS records	internal/database	internal/database	1708	**`BookFile.Duration` is `int` seconds, so every per-track duration is truncated and
B	cb	5054		Update 2026-08-16: one of these was NOT pre-existing	internal/database	internal/database;internal/metafetch;internal/plugins/itunes;internal/plugins/maintenance;internal/server/handlers	1885	**`make ci` cannot pass on `main` — staticcheck has 10 findings and aborts the target**
B	cb	1143		Dedup	internal/dedup	internal/dedup	1100	`Engine.SetLSHStore` and `Engine.SetAcoustIDBookFileStore`
B	cb	10418		"SEC: origin is reachable from the LAN — ""bind loopback"" is NOT achieva"	internal/itunes	internal/itunes;docs	1314	**🚧 P2 BLOCKER — location-form guard rejects the entire live AO library (F7).** The
B	cb	806		6,157 books are invisible in the web UI — `vg-` singleton groups elect	internal/server/handlers	internal/server/handlers	1927	🤔 **Decide whether the newly-implemented filter fields belong in
B	cb	2589		⚠️ The activity channel overflows during organize and DROPS records	internal/server/handlers	internal/server/handlers	438	"**`timeBase` is hardcoded `""1/1000""` at `internal/server/handlers/abs/mapper.go:645`**"
B	cb	1957		Config	internal/server/maintenance_fixups.go	internal/server/maintenance_fixups.go	829	**`wipeActivity` dry-run count saturates at 2.** `wipeActivity` in
B	cb	3362		Search / version-group census corrections (2026-08-13)	internal/server/search_coverage.go	internal/server/search_coverage.go	506	**Decide whether to force a search-index rebuild on prod.** The boot-time
B	cb	1403	E2EGATE-NOTREQUIRED	Config	web (frontend)	web (frontend);ci/scripts	2863	**E2EGATE-NOTREQUIRED** The E2E suite runs on every qualifying PR and its
C	cb	46		CI / automation	(unresolved)	(unresolved)	267	Add a scheduled detect-only backstop for `auto-revert.yml`: if `main`'s tip has
C	cb	96		CI / automation	(unresolved)	(unresolved)	318	🌐 **Per-stream `language` is always `nil` (N-12).** `mapper.go:676` returns nil
C	cb	127		ABS	(unresolved)	(unresolved)	1890	**Align the ABS conformance fixtures with the oracle capture so the value gate can be
C	cb	229		Tasks	(unresolved)	(unresolved)	210	Capture a goroutine dump from a real failure. **Do NOT `gh run rerun` before saving the
C	cb	235		Tasks	(unresolved)	(unresolved)	193	Consider a per-test deadline (`t.Context()` / `context.WithTimeout`) so a hang fails in
C	cb	238		Tasks	(unresolved)	(unresolved)	133	Reduce the wait-bound cost while there — 200–280s for a `-short` run of one package is
C	cb	484		ABS surface — what is still missing after the series/playlist fix	(unresolved)	(unresolved)	462	**The series list ignores `limit` and `page`.** It returned all 14,625 series in one
C	cb	491		ABS surface — what is still missing after the series/playlist fix	(unresolved)	(unresolved)	459	**`testdata/abs-fixtures/get_api_libraries_id_series.json` contains ZERO series.**
C	cb	595		ABS API — sweep every endpoint for accepted-but-ignored query paramete	(unresolved)	(unresolved)	719	🎧 **Run `maintenance.chapters-backfill` against production.** The op ships
C	cb	629		ABS API — sweep every endpoint for accepted-but-ignored query paramete	(unresolved)	(unresolved)	454	🧩 **Investigate per-chapter split files standing as their own books.** While
C	cb	642		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	1602	**`BookFile.FilePath` rows point at files that do not exist — 16,130 books
C	cb	665		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	342	**`Book.FilePath` and `BookFile.FilePath` disagree for the same book.** For
C	cb	670		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	717	**`Book.FilePath` is NOT unique — 1,264 values are shared by more than one
C	cb	680		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	353	**Stored `duration` is short of the real container by 119–186s on 7 cohort
C	cb	685		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	303	**Multi-file chapter synthesis produces a timeline that stops short.** One of
C	cb	689		Library data integrity — surfaced by the chapters-backfill cohort run	(unresolved)	(unresolved)	352	**Duplicate book rows per title under different author folders** (`Deadly Jobs`
C	cb	872		Organize/apply rename paths: three hand-verified silent failures	(unresolved)	(unresolved)	575	**F5 (remainder) — `OrganizeBookDirectory` still cannot tell a resumed
C	cb	903		Organize/apply rename paths: three hand-verified silent failures	(unresolved)	(unresolved)	429	"Audit existing ""we use the wide type because X requires it"" comments across the"
C	cb	969		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	76	`database.Store` (40) — make unreachable rather than smaller (plan phase 2).
C	cb	970		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	176	`itunes/service.Store` (17 declared / 24 called) — 7 assignability
C	cb	973		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	134	`maintenance.JobStore` (12) — deliberate choice from the #2534 arbitration;
C	cb	975		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	237	`audiobookStore` / `audiobookUpdateStore` (11 each) — the service calls **44
C	cb	984		Interface width: the five the sweep did not reach	(unresolved)	(unresolved)	1028	**Narrow `positionSyncStore` and `pathRepairerStore` — both blocked on a wide
C	cb	1063		Config	(unresolved)	(unresolved)	2105	**Audit every config option name — the set has grown by accretion and the
C	cb	1350		Config	(unresolved)	(unresolved)	2978	"🏷️ **""Browse by Tag"" surfaces internal bookkeeping tags and formats them"
C	cb	1462		Config	(unresolved)	(unresolved)	3024	🔴 **The binary ITL parser extracts ZERO smart playlists from real iTunes
C	cb	1517	ITUNES-SMARTCRIT-PARSE	Config	(unresolved)	(unresolved)	5618	**ITUNES-SMARTCRIT-PARSE** `ParseSmartCriteria` does not understand the
C	cb	1744		Config	(unresolved)	(unresolved)	1207	🟡 **`batch-operations.spec.ts:100` [webkit] is an intermittent flake —
C	cb	1945	VGBACKFILL-BOUNDS-FRAGILE	Config	(unresolved)	(unresolved)	720	**VGBACKFILL-BOUNDS-FRAGILE** Separately, and still worth doing: the
C	cb	1970		Config	(unresolved)	(unresolved)	621	**`WipeAllActivity` still does an uncancellable full scan on a request
C	cb	2431	UI-LOCKUP-2	Config	(unresolved)	(unresolved)	1828	**UI-LOCKUP-2** The web interface still locks up despite the virtualization
C	cb	2481		Config	(unresolved)	(unresolved)	278	**Consider the same file-I/O audit for the remaining apply-shaped
C	cb	2568		⚠️ The activity channel overflows during organize and DROPS records	(unresolved)	(unresolved)	1053	"**`deviceInfo.deviceType` is always `""unknown""`, and the capture cannot tell us what"
C	cb	2583		⚠️ The activity channel overflows during organize and DROPS records	(unresolved)	(unresolved)	425	**`publishedYear` loses the era: `Book.PrintYear` is an `int`, so the oracle's
C	cb	3156		Make metadata fields on the book page clickable (future improvement)	(unresolved)	(unresolved)	353	**Author name → library filtered by that author.** The most-wanted one. The API
C	cb	3161		Make metadata fields on the book page clickable (future improvement)	(unresolved)	(unresolved)	204	**Series name → library filtered by that series.** `series_id` is on the payload
C	cb	3164		Make metadata fields on the book page clickable (future improvement)	(unresolved)	(unresolved)	280	**Narrator, publisher, genre, and release year.** Same idea, but check each has a
C	cb	3168		Make metadata fields on the book page clickable (future improvement)	(unresolved)	(unresolved)	808	**⚠️ Do not link `version_group_id` to a filtered view until the filter works.**
C	cb	3340		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	327	**765 books, not 6,157, are wrongly hidden by the primary-version filter** (1.20%,
C	cb	3344		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	335	**Find the writer that creates a `vg-` group without electing a primary.** The lead
C	cb	3348		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	424	**`is_primary_version` in the payload disagrees with the filter for 5,731 books.**
C	cb	3354		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	107	**41 ungrouped books are hidden anyway** and do not fit the rule above. Small
C	cb	3356		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	350	**`version_group_id` is silently ignored as a filter** on `/api/v1/audiobooks` —
C	cb	3377		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	505	**Quoted phrases do not produce a `MatchPhraseQuery`.** The server-side
C	cb	3391		Search / version-group census corrections (2026-08-13)	(unresolved)	(unresolved)	465	**A one-book version group can have no primary member.**
C	cb	3414		Search-index coverage repair — production findings (2026-08-13)	(unresolved)	(unresolved)	668	**The store reports 67,824 live books; the API list endpoint reports 63,870.**
C	cb	3423		Search-index coverage repair — production findings (2026-08-13)	(unresolved)	(unresolved)	749	**The coverage gate compares two slightly different populations.**
C	cb	3433		Search-index coverage repair — production findings (2026-08-13)	(unresolved)	(unresolved)	731	**The search index has ZERO metrics.** A live `/metrics` scrape returns 50 metric
C	cb	3443		Search-index coverage repair — production findings (2026-08-13)	(unresolved)	(unresolved)	442	**`audiobook_organizer_books_total` reports the PRIMARY count, not the total.**
C	cb	3449		Search-index coverage repair — production findings (2026-08-13)	(unresolved)	(unresolved)	358	**Re-measure the per-cohort coverage now that a true figure exists.** The
C	cb	3469		Search follow-ups from the wildcard/phrase fix (2026-08-13)	(unresolved)	(unresolved)	440	**Fuzzy queries (`~`) have the same case-sensitivity defect the wildcard fix just
C	cb	3476		Search follow-ups from the wildcard/phrase fix (2026-08-13)	(unresolved)	(unresolved)	704	**A04's designated probe cannot verify the op-ID audit trail.**
C	cb	3488		Search follow-ups from the wildcard/phrase fix (2026-08-13)	(unresolved)	(unresolved)	885	**Activity log: auto-compact after 7 days, user-configurable.** Owner
C	cb	3517		Search follow-ups from the wildcard/phrase fix (2026-08-13)	(unresolved)	(unresolved)	390	**Metadata-apply activity rows don't NAME the book.** Same screenshot:
C	cb	3561		Author table: copyright text and HTML entities leaked into artist tags	(unresolved)	(unresolved)	129	Author id 46583 is named `&#169` — an HTML entity for `©` with its
C	cb	3563		Author table: copyright text and HTML entities leaked into artist tags	(unresolved)	(unresolved)	162	Author id 51870 is named `&#169;2013 by HarperCollinsPublishers` — a whole
C	cb	3566		Author table: copyright text and HTML entities leaked into artist tags	(unresolved)	(unresolved)	363	Find where the entity loses its `;`. `SplitCompositeAuthorName`'s semicolon
C	cb	3576		Author table: copyright text and HTML entities leaked into artist tags	(unresolved)	(unresolved)	145	Consider a `isDirtyAuthorName` rule for names starting with `©`/`&#`/a
C	cb	3586		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	94	id 46595 `and Thanks for All the Fish` (2 books) — from *So Long, and
C	cb	3588		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	43	id 46989 `and the Farm Boy (DBY)` (5 books)
C	cb	3589		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	47	id 47193 `and Make Better Decisions` (16 books)
C	cb	3595		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	189	The real defect is that `SplitCompositeAuthorName`'s comma branch has no
C	cb	3598		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	254	Consider requiring a part to look like a personal name (2-4 words, no
C	cb	3602		Author table: book titles are being comma-split into author rows	(unresolved)	(unresolved)	140	Check how many other author rows are title fragments without the `and`
C	cb	3607		Author table: misspelling shared by both rows of a duplicate pair	(unresolved)	(unresolved)	257	`Sylverster McCoy` (2 books) and `& Sylverster McCoy` (1 book) are *both*
C	cb	3680		C111 census: the nil `is_primary_version` population is 5,702 (all ung	(unresolved)	(unresolved)	108	Make every raw `*bool` post-filter treat nil as true (matching
C	cb	3682		C111 census: the nil `is_primary_version` population is 5,702 (all ung	(unresolved)	(unresolved)	144	better: backfill explicit `true` onto the 5,702 nil rows (dry-run
C	cb	3685		C111 census: the nil `is_primary_version` population is 5,702 (all ung	(unresolved)	(unresolved)	62	Fix the 41 ungrouped-false rows to true in the same op (C314).
C	cb	3686		C111 census: the nil `is_primary_version` population is 5,702 (all ung	(unresolved)	(unresolved)	112	Re-run this census as the post-fix verification: expected end state is
C	cb	3790		3. Real authors, genuinely duplicated	(unresolved)	(unresolved)	322	Normalize whitespace (and probably case) in author lookup/creation, so a
C	cb	3795		3. Real authors, genuinely duplicated	(unresolved)	(unresolved)	259	Merge the type-3 real-author duplicates. The existing
C	cb	3803		3. Real authors, genuinely duplicated	(unresolved)	(unresolved)	324	🚨 Do NOT write a single op that treats all three kinds the same. Type 3
C	cb	3884		Likely cause	(unresolved)	(unresolved)	310	Decide the single meaning of a nil `IsPrimaryVersion` and apply it in both
C	cb	3889		Likely cause	(unresolved)	(unresolved)	280	Add a conformance test in the shape used by #2406/#2410/#2411: one
C	cb	3910		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	223	First MEASURE, don't assume: confirm what `SearchBooks(q, 0, 0)` returns
C	cb	3914		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	252	If it returns nothing: the iTunes search surface has been silently empty
C	cb	3918		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	126	If it returns everything: that is the opposite failure (unbounded
C	cb	3921		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	1125	"**Legacy operation rows never leave ""pending"" — the ops UI shows"
C	cb	3960		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	341	**Verify the dry-run default on prod after deploy.** `GET
C	cb	3976		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	307	**Consider making the resume path's fallback observable.** When no saved
C	cb	3982		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	327	**Metadata matcher: shift-click range selection.** Owner request
C	cb	3988		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	389	"**Metadata matcher: ""skip all"" / hide-multiples control.** Owner request"
C	cb	3995		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	695	"**Metadata matcher: apply falsely reports ""signed out — no changes were"
C	cb	4007		PERF-4 is still live: iTunes search calls `SearchBooks(search, 0, 0)`	(unresolved)	(unresolved)	699	**Metadata matcher: multi-file write-to-files must dispatch as a
C	cb	4117		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	542	**The original CI flake (run 30702594886, 39/40 books) CANNOT be the
C	cb	4126		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	489	**Verify op-ID audit trail on prod after deploying the run-context fix.** Trigger
C	cb	4132		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	404	**Historical gap is permanent — do not chase it.** Every maintenance op run before
C	cb	4137		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	482	**Audit the eight `ctxOpID` consumers now that the ID actually arrives.** Their
C	cb	4144		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	1304	"**Organize renames with placeholder metadata — ""Unknown Author"" gets"
C	cb	4166		Offset-pagination walkers: 5 remaining + the CI flake is NOT the cross	(unresolved)	(unresolved)	625	**E07 residue: 2 ambiguous duplicate-PID groups need a human pick.**
C	cb	4186		Bleve index holds ~3,953 docs for soft-deleted books	(unresolved)	(unresolved)	349	Add/verify a reconcile pass that REMOVES index docs whose book is
C	cb	4192		Bleve index holds ~3,953 docs for soft-deleted books	(unresolved)	(unresolved)	97	Verify with a bogus-value control: search for a known trashed title
C	cb	4204		2026-06-22 security-sweep: the items still open after the status pass	(unresolved)	(unresolved)	105	**SEC-4 residue** — no CSP header yet (middleware comment defers until a
C	cb	4206		2026-06-22 security-sweep: the items still open after the status pass	(unresolved)	(unresolved)	140	**SEC-8 residue** — Dockerfile build-dep tarballs (`utfcpp`, `taglib`)
C	cb	4211	TOOL-1	2026-06-22 security-sweep: the items still open after the status pass	(unresolved)	(unresolved)	70	**TOOL-1** — `testdata` is 2.2G tracked; decide fetched-dataset split.
C	cb	4214		2026-06-22 security-sweep: the items still open after the status pass	(unresolved)	(unresolved)	135	ARCH-3/4/5/7/8 remain structural programs; ARCH-8's panicking string
C	cb	4295		Series table integrity — follow-ups from the 2026-08-14 prune repair	(unresolved)	(unresolved)	579	"**`WithOpID` is never called in production code**, so `ctxOpID(ctx)` returns """""
C	cb	4304		Series table integrity — follow-ups from the 2026-08-14 prune repair	(unresolved)	(unresolved)	498	**~2,270 series look like they were created from a book title rather than a real
C	cb	4329		Soft-deleting a book UPSERTS it into the search index	(unresolved)	(unresolved)	295	Make the soft-delete transition enqueue a Bleve DELETE instead: either
C	cb	4334		Soft-deleting a book UPSERTS it into the search index	(unresolved)	(unresolved)	108	Regression test: soft-delete an indexed book, assert a title probe
C	cb	4360		`?version_group_id=` lists the whole library, and cannot be guarded	(unresolved)	(unresolved)	372	"If yes: add a `case ""version_group_id""` to `bookFieldValue` and the name"
C	cb	4365		`?version_group_id=` lists the whole library, and cannot be guarded	(unresolved)	(unresolved)	204	If no: it still must not answer with the whole library. Extend the guard
C	cb	4375		`?version_group_id=` lists the whole library, and cannot be guarded	(unresolved)	(unresolved)	1009	**124 files remain 0600 after the fix-file-modes repair (1,547 repaired),
C	cb	4417		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	1647	**ABS series list emits a non-ABS `books[]` shape, and no series render in ABS clients.**
C	cb	4449		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	863	**The AI-scan cancel wiring is unverified, and it fails silently.**
C	cb	4463		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	442	**August executive-summary roundup is stale.** `2026-08-31-august-monthly-roundup-executive-summary.md`
C	cb	4477		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	842	**Cancelling an operation the registry has never heard of reports success.**
C	cb	4491		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	686	"**""Dynamic"" collections are currently *manually* refreshed.** A query-backed"
C	cb	4501		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	393	**`AddBookToCollection` is read-modify-write with no version check.** Two
C	cb	4507		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	334	**`POST /api/session/local-all` 404s.** Observed from the app alongside the
C	cb	4563		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	348	**`/tasks/*` and `/maintenance-window/*` are NOT v1 operations.** Six routes
C	cb	4569		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	347	**`library.import`, `library.organize` and `library.transcode` still carry the
C	cb	4575		Search placeholder hint missing when navigating to All Books from Fini	(unresolved)	(unresolved)	717	**Convert the remaining long-running `ResumeDrop` ops to real resume.** The
C	cb	4832		Stranded `.tmp-rename` recovery — bisect complete, recovery outstandin	(unresolved)	(unresolved)	525	Recovery tool. Dry-run by default, full report before anything moves.
C	cb	4840		Stranded `.tmp-rename` recovery — bisect complete, recovery outstandin	(unresolved)	(unresolved)	259	Compare with per-file SHA-256; where hashes differ because of embedded
